customer_id,cafe_visits_last_month,whatsapp_opened,box_accepted,months_subscribed,plan_type,churned
C001,4,1,1,6,2,0
C002,0,0,0,1,0,1
C003,2,1,1,4,1,0
C004,1,0,1,2,0,1
C005,5,1,1,8,2,0
C006,0,0,0,1,0,1
C007,3,1,1,5,1,0
C008,1,0,0,2,0,1
C009,6,1,1,10,2,0
C010,0,1,0,1,0,1
C011,2,1,1,3,1,0
C012,4,1,1,7,2,0
C013,0,0,0,1,0,1
C014,3,1,1,4,1,0
C015,1,0,0,2,0,1
C016,5,1,1,9,2,0
C017,2,0,1,3,1,0
C018,0,0,0,1,0,1
C019,4,1,1,6,2,0
C020,1,0,0,1,0,1
C021,3,1,1,5,1,0
C022,0,0,0,2,0,1
C023,6,1,1,11,2,0
C024,2,1,0,3,0,0
C025,1,0,0,1,0,1
C026,4,1,1,7,2,0
C027,0,0,0,1,0,1
C028,3,1,1,4,1,0
C029,5,1,1,8,2,0
C030,1,0,0,2,0,1
C031,2,1,1,3,1,0
C032,0,0,0,1,0,1
C033,4,1,1,6,2,0
C034,1,1,0,2,0,1
C035,3,1,1,5,1,0
C036,0,0,0,1,0,1
C037,5,1,1,9,2,0
C038,2,0,1,3,1,0
C039,0,0,0,1,0,1
C040,4,1,1,7,2,0
C041,1,0,0,2,0,1
C042,3,1,1,4,1,0
C043,6,1,1,12,2,0
C044,0,0,0,1,0,1
C045,2,1,1,3,1,0
C046,1,0,0,2,0,1
C047,5,1,1,8,2,0
C048,3,1,1,5,1,0
C049,0,0,0,1,0,1
C050,4,1,1,6,2,0
C051,2,1,0,3,1,0
C052,0,0,0,1,0,1
C053,5,1,1,9,2,0
C054,1,0,0,2,0,1
C055,3,1,1,5,1,0
C056,0,0,0,1,0,1
C057,4,1,1,7,2,0
C058,2,1,1,4,1,0
C059,1,0,0,1,0,1
C060,6,1,1,11,2,0
C061,0,0,0,2,0,1
C062,3,1,1,5,1,0
C063,5,1,1,8,2,0
C064,1,0,0,2,0,1
C065,2,1,1,3,1,0
C066,0,0,0,1,0,1
C067,4,1,1,6,2,0
C068,3,1,1,5,1,0
C069,1,0,0,1,0,1
C070,5,1,1,9,2,0
C071,0,0,0,1,0,1
C072,2,1,1,3,1,0
C073,4,1,1,7,2,0
C074,1,0,0,2,0,1
C075,3,1,1,4,1,0
C076,6,1,1,10,2,0
C077,0,0,0,1,0,1
C078,2,1,0,3,0,0
C079,5,1,1,8,2,0
C080,1,0,0,2,0,1
C081,4,1,1,6,2,0
C082,0,0,0,1,0,1
C083,3,1,1,5,1,0
C084,2,1,1,3,1,0
C085,1,0,0,1,0,1
C086,5,1,1,9,2,0
C087,0,0,0,1,0,1
C088,4,1,1,7,2,0
C089,3,1,1,4,1,0
C090,1,0,0,2,0,1
C091,6,1,1,12,2,0
C092,0,0,0,1,0,1
C093,2,1,1,3,1,0
C094,5,1,1,8,2,0
C095,1,0,0,2,0,1
C096,3,1,1,5,1,0
C097,4,1,1,6,2,0
C098,0,0,0,1,0,1
C099,2,1,1,4,1,0
C100,5,1,1,9,2,0
